time,HW PF Hits for Loads,SW PF Hits for Loads
2.000270411,25340901,197804
91.012050542,77682,10459
121.015936958,86586,9334
8.001096244,16539094,191427
46.006201724,89369,10792
149.019650926,2068,41
146.019206493,47358,13473
148.019518292,308849,38238
134.017686871,64209,14344
138.018198323,79971,15324
49.006612672,64214,13413
122.016094313,85019,11959
118.015532437,50618,14051
131.017284867,77486,10995
22.002990121,63293,12679
16.002190390,11821865,85362
65.008713041,60853,15351
9.001215106,6656617,136731
72.009625407,67456,14824
133.017542825,34965,6693
48.006464074,52412,16120
35.004742777,72569,11566
3.000422573,7325720,272743
15.002020560,2062,26
43.005798370,177684,11798
25.003405126,67514,11153
19.002585417,5308032,19671
104.013702824,61635,16172
31.004197827,795418,16661
106.013938899,64445,15591
120.015802033,62174,15094
96.012719777,222266,14459
32.004329539,93857,13861
59.007962139,54582,18400
79.010522068,49469,16023
40.005383839,61058,13360
124.016366840,850918,11530
23.003119969,366041,17049
140.018456411,52837,15892
33.004483641,121576,10961
71.009498607,52400,15742
109.014340570,53325,16659
125.016499574,49457,16710
11.001471288,3884569,422177
123.016226118,72399,11769
86.011378617,71155,10313
165.022068322,103587,18329
169.572977813,851185,27917
130.017160692,86368,16281
105.013818134,85848,16412
4.000573967,5825,131
116.015270154,47906,16257
20.002722983,10312516,12874
68.009095127,188774,8185
28.003801693,64171,22262
52.007023123,71352,11538
63.008467585,50998,15847
61.008225753,171293,13411
137.018076149,68618,13090
51.006881733,70192,14440
93.012294133,57952,12071
136.017940821,110625,16580
76.010119894,59255,14045
95.012576444,76705,15242
92.012171343,53552,16479
66.008829919,77863,12452
74.009892450,100443,13918
102.013457130,94520,16281
157.020885362,42306,13116
87.011507855,65881,10766
126.016634471,184892,12391
164.021933623,47914,16701
143.018846771,67286,13224
55.007416090,72310,11841
70.009346221,74908,15175
14.001831284,2367,37
135.017814173,78378,11985
53.007173236,69622,13646
139.018326270,67140,13998
159.021146533,192461,12862
144.018962762,53859,15606
50.006744569,185570,12497
84.011133236,65497,15960
119.015676345,49158,16116
117.015396776,108131,17221
90.011916864,111813,16033
57.007701121,77367,10666
12.001591377,1948510,114292
113.014880589,48948,16233
152.020112995,1613,31
156.020709912,137150,50202
160.021268147,52556,15568
167.022323784,50408,16645
38.005129399,75768,15717
128.016891766,70028,11696
18.002446843,2020646,13839
27.003671032,72098,10562
24.003254286,61251,15802
161.021409445,45897,17026
83.011016912,60037,15375
85.011254710,462581,16224
141.018581359,63546,13339
114.014997040,69951,11301
98.012958431,62099,11870
60.008090723,54064,12981
162.021587503,43713,13517
166.022190109,52897,17243
111.014599494,47012,16748
147.019362964,1513990,1575372
5.000706411,14342649,514627
97.012834244,92140,12757
29.003919921,358638,15993
103.013578594,59936,14060
145.019076041,65837,14565
1.000093586,3981970,60826
10.001337955,2975388,435920
153.020280423,2076,21
132.017416166,29835,7144
6.000836051,4595530,416723
154.020428263,2557,40
89.011767133,50998,16015
107.014076329,58378,14476
88.011639352,84322,16302
100.013215277,118118,16500
142.018716203,75578,13850
67.008967301,16318,2363
41.005510932,60787,15882
17.002317442,216168,24132
155.020548629,2123,24
37.005002208,143544,11445
99.013076900,4487,51
163.021764567,50604,13451
7.000964772,5220593,321363
151.019937377,2870,58
62.008337811,54371,16021
39.005255506,80364,11713
108.014222613,51410,15549
45.006067423,111920,10768
77.010246950,522455,11731
78.010383480,68542,12021
56.007550220,68441,10992
80.010648965,189984,13087
94.012439783,54050,15582
101.013336905,52311,15905
26.003536763,87971,11166
168.022488908,44001,13628
42.005646292,85491,1157
112.014760628,48913,16189
44.005926523,69347,10896
34.004601638,68453,14783
58.007831319,51764,16150
169.022662595,61787,13824
115.015134364,48877,16293
13.001706902,3937,96
82.010895214,56365,15676
21.002857248,106970,7461
73.009759436,49286,16436
36.004878944,69373,13156
110.014456463,49028,16443
150.019791650,1336,22
30.004047532,77761,10726
127.016761275,673852,13084
158.021024968,44341,14259
69.009215864,74410,13793
54.007289400,78207,12249
75.009994498,49986,15486
64.008594204,64035,16330
47.006333913,75501,11617
81.010776775,177916,15458
129.017024894,83403,15074
