time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000111819,106494864,9029696,62800762,4084349251
2.000291451,233393031,36724976,103220269,7780404300
3.000453492,121173521,17397975,44241284,4754861362
4.00063558,17003607,1022193,10340668,386473957
5.000826512,82539490,11955406,32720216,3246648914
6.000974438,138848737,20270537,64544281,5541997554
7.001116023,165521434,14566319,91695314,4447095151
8.001266253,53473307,7933475,16667209,5334086153
9.001414829,208941736,21695752,85109076,4607533549
10.001553787,105777673,7966502,61248772,2730139007
11.00172332,70285009,8658691,31439571,3474949171
12.001902496,105155639,11434887,54656016,4207369190
13.002070761,95936230,8716741,50545134,3272711788
14.002245541,20124720,2916204,8106716,1016071167
15.002399479,170450,6805,111047,1807846
16.002558936,189176,7440,110839,1733388
17.002740984,170891,6599,110828,1688269
18.002948778,43322395,11304007,9871929,1801329356
19.003135318,1658593,196848,861008,76849507
20.003277596,32246086,8697773,6810219,1134044057
21.003430003,23680060,5387004,4562408,727085202
22.00358012,22794664,6599132,5025080,961463431
23.003731414,1628752,164513,769965,59387142
24.003889292,1681593,175512,793191,61991105
25.004031667,1587244,148018,790050,55803593
26.004175009,1607983,158604,803898,59031309
27.004330993,224993,23016,127420,9906046
28.004480855,1150164,125573,624862,46040769
29.004645441,1527028,158171,763154,57848801
30.00479104,2151305,237163,1108604,83473486
31.004938195,1713950,161356,868255,58249126
32.005111656,1816400,178655,901417,66376241
33.005255244,1645296,155380,948779,58590168
34.00541028,1945964,176605,940205,59254000
35.005560295,2203849,283508,1198546,85416497
36.00570199,1917502,162896,1134004,60609749
37.005847484,2082935,201074,985203,66740154
38.006000888,2225017,213632,1104483,74378210
39.006141195,3627802,538379,1447723,163814796
40.006282399,1767793,140197,930815,58280733
41.006424236,1786403,172038,1029853,63317467
42.0065593,1692134,157230,983283,59508009
43.006707196,2031876,158677,1053034,63171589
44.00685364,1914744,188073,1069382,68227489
45.006988388,1750495,160354,1017515,59689946
46.007136274,2094829,223239,1098519,82863577
47.007296356,1755794,159913,1018357,59608744
48.007430076,1808220,161837,1050055,60086221
49.00761663,1849005,170054,1063718,64928151
50.007780471,10169029,863474,5839857,339731510
51.007965609,41892393,4410715,19911039,1315781486
52.00815065,171510,7574,104833,2067483
53.008336707,144014,6092,88935,1443744
54.008503751,169996,7439,104115,2064386
55.008705565,144449,6443,89220,1459990
56.008888307,145388,6486,89382,1455232
57.00903879,145203,6394,89553,1428421
58.009210179,145038,6379,89713,1442974
59.00934596,144696,6404,89201,1429929
60.00952726,4517892,481476,2459623,185023550
61.009693287,1548856,202419,740676,74215415
62.00985941,1630888,157207,812210,54097400
63.010019887,1567812,176996,650366,55587163
64.010178059,3448325,514291,1172319,146891599
65.010322711,1295324,149526,673360,55010189
66.010473436,1563627,184726,747747,70894630
67.010609965,2306758,283552,851086,85525102
68.010776406,3801982,622170,1259202,170465773
69.010938252,453445,54580,181463,17569731
70.011104999,1545539,187273,665586,66146588
71.011250964,2383099,312734,1081065,94557816
72.011815325,1496188,151672,826700,57567691
73.011954211,1692142,147516,869083,56329632
74.012104814,1535967,151205,797253,56259724
75.012243681,1527369,152487,852814,57074627
76.012392281,1932949,222331,977027,85729790
77.012557802,1812338,165821,877340,59077372
78.012709247,1806837,169132,881675,56518151
79.012877855,2013782,205960,921389,68932646
80.013031422,1805531,166736,898189,56573240
81.013181937,5119317,832324,1753595,190769504
82.013323991,1670783,145381,860895,56404451
83.013468492,1705194,149844,874451,57687547
84.013607221,1494293,152484,827230,56563140
85.013741182,1640585,170700,875581,62878905
86.013881648,1492906,149855,834806,56826635
87.014030557,1856321,171619,910800,59563859
88.014169592,1939240,249956,995983,74436115
89.014334546,4635252,660177,1597144,174311092
90.01447925,1808488,181077,927663,62743374
91.014646457,1968166,192726,914590,73002401
92.01482075,2164076,208238,1004108,66227051
93.014977877,1272106,144367,632539,57253655
94.01513881,464128,20246,272278,4290786
95.015286922,1995259,191073,965487,73213782
96.015440149,1521443,152098,839613,56889801
97.015585338,2589254,290354,1157457,92650868
98.015746441,1860731,174063,930981,67866532
99.015897435,6307919,1108678,1979481,295782877
100.016037475,1629313,172241,788792,62223007
101.016176271,2207185,220855,1018689,73006982
102.016317573,2061826,271379,947901,93739272
103.016460258,1679629,160320,830908,58115540
104.016627128,1515771,160643,760745,55613033
105.016762043,1438176,143583,754586,55600766
106.016916606,1426026,151414,763250,55679631
107.017073125,2267558,274616,1016324,94576726
108.017222902,1487609,152062,822337,56327516
109.017374897,2262270,329551,966368,103090249
110.017530436,1438120,149959,774144,56002970
111.017699246,1501523,155719,743360,57274740
112.017841528,1422068,151434,769120,56151395
113.017980076,1848716,231209,865162,80952504
114.018119249,2069385,281071,922424,97038264
115.018275616,1797227,217476,845337,78525732
116.018444218,1711290,156228,848578,55302495
117.018580686,2216242,266805,996384,85702023
118.018707943,2939848,458082,1159799,139952931
119.018864848,1434314,148112,712927,54919294
120.019021129,1530415,139285,766233,54912899
121.019152182,2794470,460345,1042265,131636544
122.019292644,1366254,141150,721740,54787399
123.019458371,1414273,159475,741266,60099668
124.019595553,1745880,280037,790781,84282517
125.019747466,432659,19364,273040,4907297
126.019883647,1688811,170493,816785,60615685
127.020039882,1581821,158956,773595,55866653
128.020199925,1611911,174949,789265,64505567
129.02034362,1315886,144451,701884,54670524
130.020483979,1312782,145711,703696,54720382
131.020625941,1326428,147195,707360,54728235
132.020771895,1323306,147457,706545,55311862
133.020906738,1607142,199862,784663,69616244
134.021046925,1318000,147763,699379,54579675
135.021194997,1556022,186595,774911,68434648
136.021328018,1659317,172187,771759,68418166
137.021461533,1384455,158942,725414,60843680
138.021607003,1323249,146624,694575,54904535
139.021760065,1316864,148414,684081,55302418
140.021908653,1372903,153902,714398,57327481
141.022052358,5897039,1204271,1678561,280174344
142.02221877,1808274,247944,915970,70135537
143.022352874,1343078,146699,722724,54856000
144.022492298,1286223,144118,685447,54437422
145.022631929,1585981,160303,765581,61950566
146.02278864,8133323,1632306,1954414,371012849
147.022932224,1323691,149023,659679,54733672
148.023069394,1257360,143591,673513,54476457
149.023224843,1935281,273408,853008,91411355
150.023359468,1254324,143318,670655,54434107
151.023522845,1251483,143175,666198,54722442
152.02367976,1436811,167303,694757,63285276
153.023823363,1262252,145126,671486,55264698
154.023972446,1270261,142432,660841,53967604
155.024117636,1436598,147271,697171,53978740
156.024268783,1232705,141372,656257,53954026
157.024416112,1332072,159561,682495,64476029
158.024554749,1696714,234616,839810,70230997
159.024698255,1373828,145984,750015,55260211
160.024834287,1257259,144205,664353,55647244
161.024977809,1240355,142921,654045,54934235
162.025107593,1352908,144275,676228,54454962
163.025247725,1253059,148027,644430,54408708
164.025389134,66752,3940,34070,903494
165.025530266,1237675,141370,652738,54008955
166.025663089,1368191,158490,687923,60604041
167.025798793,1240222,142528,659635,54351081
168.02595054,1414499,118855,677392,53974077
169.026095856,1333455,143465,677548,54413592
170.02623702,1574659,153280,713377,54459970
171.026374406,1519875,135329,715491,54453432
172.026525702,1493068,133147,705629,54376588
173.02667923,1531775,145573,722700,54402882
174.026824519,1585540,156150,742429,62004901
175.026988621,1686837,240952,834264,72550377
176.027156858,1597791,150497,798230,55092180
177.027314195,16057493,3006510,3891337,625195914
178.027456438,7826257,1397681,2072183,321826162
179.027593205,1988741,255492,834665,101864602
180.027733961,1245731,144626,655968,54897955
181.027872695,1694692,178642,789489,64807588
182.028012006,1368966,152474,680389,54202749
183.028165091,1262045,144602,635226,53737883
184.028298463,1226598,142007,650723,54180197
185.0284509,1225524,141944,648862,54148900
186.028607002,1413272,176049,700404,64807639
187.028737101,1302518,158489,663507,58243375
188.028866392,1668900,216337,767501,73774633
189.029045826,1218178,141235,646201,54148231
190.029230632,7635404,947378,3594777,268937261
191.029411341,18331295,1166216,10196755,456465450
192.029610588,132196,6935,75990,1432346
193.029780332,121592,5777,71318,1231304
194.029942843,122118,5720,71521,1256098
195.030130847,121228,5615,71525,1231703
196.030292589,123596,6136,72269,1250528
197.030436127,126128,6318,70018,1230799
198.030581393,121038,6082,70830,1236087
199.030781924,2916421,387330,1453715,152853484
200.030978371,1010584,132201,505294,51361644
201.031146247,1017989,133340,508018,51612881
202.031282632,1128523,141429,506057,51579955
203.031428933,1020302,133073,509096,51671730
204.031560964,1486355,236958,698819,69643039
205.031742669,1172187,139850,573561,52120852
206.031949023,1157998,140514,598057,54360090
207.032140534,1281840,166969,621640,63632010
208.032298844,1114150,137078,576132,52585703
209.032439432,1128668,137905,580281,52774791
210.032583688,1129212,137975,586979,52730441
211.032736351,1333753,144268,577797,52766180
212.032928204,1290957,160129,652599,60626613
213.033103476,2965548,229898,1707508,78818137
214.033308143,23867336,2027796,12321539,706078341
215.033484994,122373,5842,71630,1259474
216.033699271,165708,13326,85012,8525976
217.033872439,120479,5939,70577,1235486
218.034073629,120342,5710,70615,1245143
219.034252402,121583,6065,71070,1244210
220.03439467,124030,6244,71847,1264823
221.034556922,121494,6108,70826,1245955
222.034693259,122117,6096,71335,1294738
223.034890895,3553211,472564,1702325,182524963
224.035069601,994608,131972,493747,51254601
225.035230915,1007542,135137,498417,53018236
226.035376066,995387,132926,494238,51239904
227.035505601,996276,132600,495611,51224042
228.035629933,1310389,191092,575676,71519463
229.035819769,1131399,139579,582222,55239751
230.036020163,1100092,136194,565763,52473086
231.036220932,1107550,137504,567375,52493041
232.036378774,1186923,150216,588390,57202119
233.036511264,2127467,309868,1059004,91204766
234.036647292,1208366,139878,639866,53268072
235.036808897,2495279,397795,909619,122955914
236.037006632,1325907,276682,527632,91811866
236.382960756,22843307,1983881,12225521,539665193
