time,L2 RFOs,L2 RFO Misses,instructions
1.00027938,10800,4122,568806
2.000626337,198392,115349,17803833
3.00091519,10468,3992,559838
4.001356867,9981,3842,574873
5.001671609,635812,271724,80430834
6.001975061,9446,3695,555576
7.002325,5954,3502,489433
8.002637783,9191,4281,569186
9.002919087,5736,3369,498125
10.003205557,7018,4259,594010
11.003493574,6286,3832,505721
12.003839633,4944603,1730563,471954056
13.004173178,73961377,8875511,5805128610
14.004489164,41824098,10594170,5461880652
15.004841911,40947000,9281569,4901383777
16.005383638,33823162,2746117,1924100984
17.005765513,1626450,244165,109390812
18.006365366,144962273,33939464,11167627722
19.006959177,246682870,36241996,13626811521
20.007545705,95930577,28835915,16154998885
21.008170055,138801332,31458030,14454269934
22.008789559,180136638,30295757,15308872548
23.009411612,129891701,35803723,14112577723
24.010026103,121743619,47507036,13579558601
25.010663563,226448753,51967695,12462296937
26.011276375,136551238,35188117,16266552671
27.011900147,60894741,12343438,19847524243
28.012532493,54286451,12347003,20951140687
29.013145757,58726874,11008709,20633640257
30.013770767,40339853,6035147,21563283120
31.014391868,41698500,6134617,20484030746
32.01499759,52302322,9292327,21378991360
33.015614763,43566382,7136365,21306322399
34.01623592,39164145,6935982,21869580321
35.016850923,49932758,8639120,19775724071
36.017479376,37433916,5520862,21986832854
37.018100325,38128217,5648285,21988269461
38.018693911,52213473,10489034,20015188733
39.019218537,151258221,24226004,11317694892
40.019806647,145088269,30063837,15427924359
41.020413863,155560073,32340774,14384705308
42.02103928,196450340,33909325,14341078738
43.02167465,133298688,31219712,15479886703
44.022301203,142593916,39566430,14186092113
45.022934827,190972256,45969177,13301289767
46.023515173,135504139,34772876,14772586314
47.024117121,116136840,31473633,16843273832
48.024751955,120243635,28200158,18060710786
49.025371066,58162546,12486868,20738837554
50.026002738,48848765,9670131,21339350273
51.026657839,45665093,9171399,21649644427
52.027279637,47895971,8322217,21377542819
53.027907932,39290037,6804744,21556819419
54.029330464,37800292,7503295,21643951090
55.029948078,46158836,8245225,21582826545
56.03057765,36710297,6500741,21578814492
57.031203959,35590366,6946363,21302110087
58.031831332,45453688,8330258,21073224094
59.032375569,74010565,12317856,16691188693
60.032933472,117131323,21721576,15152700395
61.033537577,182106131,30904769,14735260712
62.03419443,184215594,31766699,14486490452
63.034802829,162148465,29443115,15394949961
64.035432309,139183183,30660720,15145049067
65.036072599,146826620,35823990,13801277838
66.036704087,162974539,39305114,13612474518
67.037341851,125430968,22170971,14364602604
68.037871961,46922184,9656419,17928547733
69.038488029,30464453,6391255,19076926138
70.039112934,30390049,6249310,17954796773
71.039672143,32111741,6349358,18692988576
72.040278789,26356649,5176537,17611456346
73.040861482,28215865,5882114,16880098970
74.041483297,25753954,5354976,17757540030
75.042110871,24726851,4478944,17033589569
76.042604975,23648674,5422622,13009402889
77.043151175,62658816,9049090,12860043993
78.043724059,103088484,16869392,11209229237
79.04432404,133824461,21766040,12272750031
80.044955703,145971362,30824713,14098930372
81.045597102,176514822,34065131,13419367715
82.046217499,117467993,25673359,14764208750
83.046842096,109971879,23789499,14534783138
84.047673665,63569279,10528134,13809223887
85.048296581,26787806,6079478,16060589697
86.048837215,17786282,3852119,15805168455
87.049375228,21835719,4573022,16145015812
88.049973191,21801953,5519995,16355269244
89.050585703,18875942,4536352,16169995440
90.051105817,20014780,4378801,14926558707
91.051589613,16918705,3924543,10137933315
92.052068127,60232443,10117252,7052409602
93.052659935,114193502,18831389,9729898881
94.053278736,112535094,23750303,11422800873
95.053816324,146296180,29252385,13134069372
96.054452122,121904286,27924271,12480769943
97.055092113,99558115,21074320,12916183517
98.055717558,76569902,10535387,14104042205
99.056249478,25292642,5061490,16023672592
100.056790206,22745335,5559198,16631001633
101.057397236,22775583,4974465,16269135593
102.057951144,18247664,4040729,15974512261
103.058569255,21412310,4847281,16324307067
104.059193744,20961986,4737814,16038930592
105.059717603,15512693,3378020,11252139687
106.060190734,60861838,8727390,7745687362
107.060794725,101631954,15893513,9861641767
108.061340145,131799611,21801730,12205908241
109.061854706,145968712,27634783,13220909612
110.062369314,123020087,25508916,12628359932
111.062870912,94717311,19988796,12606515049
112.063485329,71071365,11572932,12520308371
113.064063083,27096905,6267292,15814267630
114.064666928,26367044,5077738,13652772861
115.065282492,19113074,4333911,16177083432
116.065828805,19908039,4874693,16053978529
117.066372606,20047118,4516647,14915048631
118.066991544,13121725,3422263,16472918065
119.067488004,17533441,4240721,12010238709
120.068108524,65316494,9846682,12173139120
121.068708444,104980812,15555296,10062875732
122.069335372,127838099,23111219,12733985973
123.069979927,156798323,28189312,13044866824
124.070593485,114675216,24160770,12926878074
125.071149812,96962481,20807876,12484982507
126.071769313,71179549,12662705,11832807395
127.072290311,31055173,5579050,15627542525
128.072867829,25865681,5774427,15301266061
129.073480225,22492343,4966801,16182058036
130.074080457,15912819,3502615,16156704030
131.074691331,21279251,5099010,16248228360
132.075215893,20439136,4533231,14576419979
133.075809845,11892332,2634478,11032432211
134.076410091,54289379,7687123,8806703601
135.076901985,69188911,12405189,9925083209
136.077409069,93172133,12813134,7785587541
137.078058715,128460724,26615407,11342643689
138.078678767,137495305,23276193,13451772726
139.079197141,82920736,12093143,11767556619
140.0797347,20166004,3967943,6408174982
141.080262862,7672771,1713600,5789972702
142.080792267,10393149,2085868,5988931455
143.081299654,7106623,2041991,5835629963
144.081922545,7024666,1626240,5768490652
145.082422246,10581247,2306241,5924297775
146.083055573,67220338,16608476,9048497730
147.083676431,111783476,27896089,13989004769
148.084262944,165259364,28868505,13667677256
149.084867152,179735631,32232297,14581994698
150.085465717,146841705,28708989,15291206661
151.086067707,148450031,31398265,14733195464
152.086694486,155865542,29772954,15206400227
153.087292819,144590126,32905505,14187542515
154.087918466,113273086,28122892,13926279698
155.088503632,147382448,31489866,13862718110
156.089086322,192440111,32525409,14117992801
157.089769649,151191202,31419818,15486311172
158.090379778,161601710,30740437,14889384504
159.091043566,150707373,32604856,14906252019
160.091673383,135814651,31283374,14758439210
161.092236211,124250210,27595502,13293249493
162.092816043,105976729,23822140,11469010638
163.093418166,184960271,28303683,13855642623
164.094021968,167996367,30390705,14976056493
165.094639601,155880730,28981507,15380579407
166.095260448,158860848,32419970,14585620883
167.095889857,142982885,29937514,14771319683
168.096345684,127397651,31485802,14273070837
169.096929451,113398603,25780190,12521031337
170.100054854,145823428,27520017,13054244807
171.100605266,154143387,28365342,14341409612
172.101188929,162259920,32703649,13673180301
173.101802597,155543662,31494554,14776805397
174.102422196,142556323,31811243,14773807368
175.103020872,144286049,30950241,14331465338
176.10361312,163471945,31221953,14011571201
177.104192765,131820679,29169536,14164465594
178.104634804,109629159,25182069,13229510665
179.105060414,89497836,15730401,9214931508
180.105587822,33137883,7848441,5370035143
181.106097999,833968,192762,42101958
182.106512177,554814,66255,29918547
183.106986574,16119,5047,857036
184.107473249,168358,96864,18025430
185.107870883,15380,4758,772066
186.108355394,106988,28079,6769853
187.108767802,6160756,2296379,701643004
188.109135281,76227024,8625888,5173468500
189.109580226,49866159,11599377,6652371105
190.110065722,41793168,9128634,5047708778
191.110579205,27381037,2621941,1807470957
192.111118737,705896,153057,79810349
193.111562236,56899473,6584781,4011464024
194.111988338,50589537,11155344,6772916124
195.112385919,48821180,8329487,4356849446
196.11290025,29444586,7425460,1278234285
197.113447398,853039,52329,12305512
198.113996875,950763,66305,20301152
199.114405111,58384744,6293933,3765495542
200.114779728,67986358,10551311,7853391511
201.115159164,33814771,7133843,4038947022
202.115707669,23969211,4724994,2904941484
203.116211648,1206371,136261,57500522
203.666552075,991563,60174,33737317
